timestamp,soil_moisture_pct,soil_temperature_c,soil_ec_us_cm,soil_ph
2026-07-05 10:37:23,26.9,24.9,636,4.7
2026-07-05 10:44:36,26.7,24.9,652,5.2
2026-07-05 10:51:11,26.5,24.9,649,5.3
2026-07-05 12:08:04,80.8,24.9,1912,4.9
2026-07-05 18:08:05,84.6,24.9,2909,6.1
2026-07-06 06:10:04,85.9,25.0,3202,6.5
2026-07-06 10:10:05,86.0,24.8,3202,6.2
2026-07-06 14:10:05,85.9,24.3,3147,6.3
2026-07-08 18:10:05,84.8,24.3,2747,5.8
2026-07-09 06:10:05,85.1,25.3,2729,5.3
2026-07-09 10:10:04,84.6,25.0,2639,5.7
2026-07-09 14:10:05,84.6,24.1,2548,6.1
2026-07-09 18:10:05,79.8,24.2,1989,6.8
2026-07-10 06:10:05,72.9,25.4,1906,3.9
2026-07-10 10:10:07,67.5,25.1,1863,5.0
2026-07-10 14:10:05,63.1,23.4,1772,6.5
2026-07-10 18:10:05,62.2,23.4,1726,6.1
2026-07-10 22:32:02,61.1,24.5,1729,5.5
2026-07-10 22:37:44,61.6,24.5,1731,5.4
2026-07-12 10:02:13,54.9,25.5,1545,5.5
2026-07-12 18:02:06,48.1,24.9,1412,5.3
2026-07-13 06:02:05,46.6,26.7,1428,5.5
2026-07-13 10:02:14,46.8,26.2,1395,5.4
2026-07-13 14:02:35,45.3,24.8,1299,4.8
2026-07-13 18:02:05,44.9,24.6,1263,5.1
2026-07-14 06:02:06,44.7,26.3,1285,5.2
2026-07-14 10:02:05,44.5,25.7,1252,4.9
2026-07-14 14:02:14,43.2,24.0,1145,5.1
2026-07-14 18:03:10,43.2,24.4,1126,5.4
2026-07-15 06:02:06,42.9,26.0,1142,5.2
2026-07-16 10:34:00,41.3,25.6,1024,3.0
2026-07-16 13:11:47,40.6,24.4,976,3.0
2026-07-16 13:16:39,39.9,24.5,975,3.0
2026-07-16 14:14:09,40.3,24.1,961,3.0
2026-07-16 14:18:14,40.3,24.0,958,3.0
2026-07-17 22:07:13,87.6,24.8,3257,3.9
2026-07-21 13:04:04,86.5,24.2,2729,3.5
2026-07-21 18:02:12,86.3,23.9,2711,3.0
2026-07-22 06:02:11,87.9,26.2,2945,3.0
2026-07-22 10:02:12,87.2,25.9,2909,3.0
2026-07-22 14:02:12,87.9,24.7,3055,3.0
2026-07-23 06:02:15,88.5,26.1,3275,3.0
2026-07-23 10:02:24,87.6,25.6,3183,3.0
2026-07-23 14:02:35,87.2,23.9,2963,3.0
2026-07-23 18:03:35,87.9,24.3,2945,3.0
2026-07-23 21:11:47,87.9,24.8,2981,7.3
2026-07-23 22:16:10,87.6,25.1,2981,7.3
2026-07-24 01:16:11,88.3,25.6,3036,7.3
2026-07-24 04:16:11,87.9,26.0,3055,7.3
2026-07-24 07:16:10,88.0,26.1,3055,7.2
2026-07-27 14:48:41,87.1,24.1,2512,6.5
2026-07-27 18:16:11,87.4,24.1,2512,6.5
