timestamp,temperature,humidity,battery,rssi
2026-06-15 15:56:51,24.8,46.3,100,-26
2026-06-15 15:57:29,24.7,46.5,100,-27
2026-06-16 11:29:16,24.8,65.0,100,-23
2026-06-30 11:37:12,24.4,76.1,90,-32
2026-06-30 13:39:07,25.0,64.7,90,-26
2026-06-30 14:10:46,24.8,64.0,90,-24
2026-06-30 14:28:26,24.8,60.8,90,-27
2026-06-30 14:40:46,24.8,63.3,90,-25
2026-06-30 15:01:17,24.8,64.9,90,-24
2026-06-30 15:20:17,24.7,64.1,90,-27
2026-06-30 15:30:06,24.7,64.2,90,-25
2026-06-30 15:54:00,24.7,62.2,90,-27
2026-06-30 16:00:25,24.7,61.9,90,-27
2026-06-30 16:20:16,24.8,58.6,90,-24
2026-06-30 16:40:47,24.8,64.6,90,-24
2026-06-30 17:00:58,24.8,62.7,90,-23
2026-06-30 17:20:05,24.8,61.8,90,-26
2026-06-30 17:41:22,24.7,59.5,90,-26
2026-06-30 18:00:46,24.7,60.6,90,-24
2026-06-30 18:20:16,24.6,60.4,90,-24
2026-06-30 18:40:16,24.6,61.7,89,-24
2026-06-30 19:00:16,24.6,63.0,89,-24
2026-06-30 19:20:37,24.6,60.5,90,-26
2026-06-30 19:40:37,24.6,60.3,90,-24
2026-06-30 20:00:05,24.5,60.4,90,-27
2026-06-30 20:21:16,24.5,64.1,90,-24
2026-06-30 20:40:15,24.5,65.3,90,-24
2026-06-30 21:01:23,24.5,65.7,90,-24
2026-06-30 21:20:26,24.5,61.5,90,-24
2026-06-30 21:40:46,24.6,65.9,90,-24
2026-06-30 22:00:15,24.6,66.7,90,-26
